NUM;NAME;RAJD;DECJD;P0;DM;
# Generated 2015-09-02 using ATNF Pulsar Catalogue web form
# Used "Short csv without errors" output
# Conditions "DM > 0 && P0 > 0"
# Return fields Name, RaJD, DecJD, P0, DM
# Removed second line (units) from resulting output
# Changed "#" in first line to "NUM"
385;J1047-3032;161.753390;-30.538334;0.330328;52.54;
386;J1047-58;161.983333;-58.683333;1.231290;69.30;
387;J1047-6709;161.867842;-67.164185;0.198451;116.16;
388;B1046-58;162.050833;-58.534944;0.123671;129.10;
389;J1049-5833;162.459750;-58.562389;2.202325;446.80;
390;J1052-5954;163.158792;-59.912250;0.180592;491.00;
391;J1052-6348;163.222458;-63.804611;0.383830;167.50;
392;J1054-5943;163.740625;-59.720583;0.346909;330.70;
393;J1054-5946;163.626917;-59.775278;0.228324;253.90;
394;J1054-6452;163.536833;-64.877083;1.840004;234.00;
395;J1055-6022;163.952083;-60.381111;0.947558;590.00;
396;J1055-6028;163.913292;-60.477083;0.099661;635.90;
397;J1055-6236;163.977542;-62.613417;0.448635;149.70;
398;J1055-6905;163.936292;-69.086500;2.919397;142.80;
399;J1056-5709;164.182458;-57.159583;0.676082;436.50;
400;B1054-62;164.106458;-62.979889;0.422447;320.30;
401;J1056-7117;164.191583;-71.298165;0.026310;93.04;
402;J1057-4754;164.471408;-47.916000;0.628306;60.00;
403;B1055-52;164.495688;-52.448961;0.197108;30.10;
404;B1056-78;164.364167;-79.240056;1.347402;51.00;
405;J1058-5957;164.642708;-59.960111;0.616270;334.00;
406;B1056-57;164.753750;-57.703944;1.184999;108.70;
407;J1101-6424;165.404968;-64.410926;0.005109;207.00;
408;J1101+65;165.500000;65.116667;3.631320;19.00;
409;J1103-5403;165.888725;-54.062013;0.003393;103.92;
410;J1103-6025;165.881167;-60.426775;0.396587;275.90;
411;J1104-6103;166.071925;-61.051078;0.280905;78.51;
412;J1105-43;166.350000;-43.950278;0.351100;38.00;
413;J1105-6107;166.359042;-61.130944;0.063193;271.01;
414;J1106-6438;166.618500;-64.650000;2.717934;203.00;
415;J1107-5907;166.893583;-59.121861;0.252773;40.20;
416;B1105-59;166.994583;-59.784444;1.516531;158.40;
417;J1107-6143;166.801250;-61.733056;1.799396;406.00;
418;B1107-56;167.501667;-56.625806;0.558253;262.56;
419;J1110+58;167.750000;58.866667;0.793348;26.00;
420;J1112-6103;168.061708;-61.058639;0.064962;599.10;
421;B1110-65;168.160542;-66.218000;0.334213;249.30;
422;B1110-69;168.212500;-69.441944;0.820484;148.40;
423;B1112-60;168.593833;-61.009500;0.880820;677.00;
424;B1112+50;168.910000;50.503414;1.656440;9.20;
425;J1115-6052;168.973667;-60.871611;0.259777;228.20;
426;B1114-41;169.179525;-41.378878;0.943158;40.53;
427;J1117-6154;169.349208;-61.906111;0.505097;493.60;
428;J1117-6447;169.437500;-64.799444;1.155272;303.00;
429;J1119-6127;169.809583;-61.463750;0.407963;707.40;
430;B1118-79;169.920000;-79.608417;2.280597;27.40;
431;J1120-3618;170.093333;-36.308944;0.005550;45.10;
432;B1119-54;170.329954;-54.734861;0.535783;204.70;
433;J1122+78;171.491667;78.383333;0.004201;11.22;
434;J1123-4844;170.815213;-48.739653;0.244838;92.92;
435;J1123-6102;170.923750;-61.035056;0.640234;439.40;
436;J1123-6259;170.981454;-62.986317;0.271434;223.26;
437;J1123-6651;170.967542;-66.863631;0.232976;111.20;
438;J1124-3653;171.000000;-36.000000;0.002410;44.90;
439;J1124-5638;171.235292;-56.644361;0.185560;289.50;
440;J1124-5916;171.162500;-59.271944;0.135477;330.00;
441;J1124-6421;171.247917;-64.354722;0.479099;298.00;
442;J1125-5825;171.434857;-58.421356;0.003102;124.79;
443;J1125-6014;171.480075;-60.235169;0.002630;52.95;
444;J1126-27;171.500000;-27.616667;0.358161;26.86;
445;B1124-60;171.719200;-60.911100;0.202737;280.27;
